1,1,Surat Pengantar Camat Setempat,1
1,2,Foto copy KTP (Kitas/Paspor untuk WNA),1
1,3,Foto copy NPWP (Untuk permohonan rumah tinggal tidak perlu),0
1,4,'Foto copy akta pendirian perusahaan dan pengesahaannya (CV, PT, Koperasi) Kecuali usaha perorangan',0
1,5,Foto copy bukti kepemilikan lahan/yang disamakan dan bukti pelunasan PBB tahun berjalan,1
1,6,Persetujuan sebelah menyebelah/penyanding,0
1,7,Persetujuan desa pekraman,0
1,8,Melampirkan perjanjian ikatan awal dengan pemilik lahan atau sewa menyewa (untuk lahan yang bukan milik pemohon),0
1,9,Denah lokasi beserta gambar site rencana awal,0
1,10,'Surat pernyataan kebenaran dokumen, tanah tidak dalam sengketa, management tidak dalam permasalahan',0
1,11,Proposal rencana proyek kecuali untuk perohonan IPR rumah tinggal),0
1,12,Melampiri surat rekomendasi kesesuaian koordinat dari Diskominfo (Untuk Tower Telekomunikasi),0
1,13,Untuk penanaman modal asing melampirkan izin prinsip penanaman modal atau dipersamakan BKPM,0
1,14,'Surat keterangan dari atasan langsung (PNS, TNI/POLRI) (Untuk permohonan rumah tinggal tidak perlu)',0
1,15,Surat kuasa pengurusan izin (bagi yang menggunakan kuasa),0
1,1,Surat Pengantar Camat Setempat,1
1,2,Foto copy IPR,1
1,3,'Surat pernyataan kebenaran dokumen, tanah tidak dalam sengketa, management tidak dalam permasalahan',1
1,4,Draft dukomen lingkungan (Amdal/UKL-UPL) 2 buah,1
1,5,Surat kuasa pengurusan izin (bagi yang menggunakan kuasa),1
1,1,Surat Pengantar Camat Setempat,1
1,2,Foto copy KTP (Kitas/Paspor untuk WNA),1
1,3,Foto copy NPWP,1
1,4,'Surat pernyataan kebenaran dokumen, tanah tidak dalam sengketa, management tidak dalam permasalahan',1
1,5,Pertimbangan Teknis Pertanahan,1
1,6,Surat kuasa pengurusan izin (bagi yang menggunakan kuasa),1
1,1,Surat Pengantar Camat Setempat,1
1,2,Foto copy KTP (Kitas/Paspor untuk WNA),1
1,3,Foto copy NPWP,1
